id,name,description,is_active,created_at,nick_name
1,Google Ads,,true,2025-11-17 19:12:20.553241,DigRef
2,Google Organic,,true,2025-11-17 19:12:20.553241,MYGOO
3,Thumbtack,,true,2025-11-17 19:12:20.553241,Thumbtack
4,Referral,,true,2025-11-17 19:12:20.553241,Referral
5,Repeat Customer,,true,2025-11-17 19:12:20.553241,Repeat Customer
6,Instagram,,true,2025-11-17 19:12:20.553241,IM
7,Facebook Ads,,true,2025-11-17 19:12:20.553241,FBM
8,MDN,,true,2025-11-17 19:12:20.553241,MDN
9,BBB,,true,2025-11-17 19:12:20.553241,BBB
10,Goodzer,,true,2025-11-17 19:12:20.553241,Goodzer
11,Rachael,,true,2025-11-17 19:12:20.553241,Rachael
12,3OPT,,true,2025-11-17 19:12:20.553241,3OPT
13,Organic,,true,2025-11-17 20:11:34,Organic
14,Miscellaneous,,true,2025-11-17 20:12:11,Misct
